Ticker,Company,Sector,Industry,Country
A,Agilent Technologies Inc.,Healthcare,Diagnostics & Research,USA
AA,Alcoa Corp,Basic Materials,Aluminum,USA
AAL,American Airlines Group Inc,Industrials,Airlines,USA
AAON,AAON Inc.,Industrials,Building Products & Equipment,USA
AAP,Advance Auto Parts Inc,Consumer Cyclical,Specialty Retail,USA
AAPL,Apple Inc,Technology,Consumer Electronics,USA
AB,AllianceBernstein Holding Lp,Financial,Asset Management,USA
ABBV,Abbvie Inc,Healthcare,Drug Manufacturers - General,USA
ABCB,Ameris Bancorp,Financial,Banks - Regional,USA
ABG,Asbury Automotive Group Inc,Consumer Cyclical,Auto & Truck Dealerships,USA
ABM,ABM Industries Inc.,Industrials,Specialty Business Services,USA
ABNB,Airbnb Inc,Consumer Cyclical,Travel Services,USA
ABR,Arbor Realty Trust Inc.,Real Estate,REIT - Mortgage,USA
ABT,Abbott Laboratories,Healthcare,Medical Devices,USA
ACA,Arcosa Inc,Industrials,Engineering & Construction,USA
ACAD,Acadia Pharmaceuticals Inc,Healthcare,Biotechnology,USA
ACHC,Acadia Healthcare Company Inc,Healthcare,Medical Care Facilities,USA
ACI,Albertsons Companies Inc,Consumer Defensive,Grocery Stores,USA
ACIW,ACI Worldwide Inc,Technology,Software - Infrastructure,USA
ACLS,Axcelis Technologies Inc,Technology,Semiconductor Equipment & Materials,USA
ACLX,Arcellx Inc,Healthcare,Biotechnology,USA
ACM,AECOM,Industrials,Engineering & Construction,USA
ACN,Accenture plc,Technology,Information Technology Services,Ireland
ACT,Enact Holdings Inc,Financial,Insurance - Specialty,USA
ACVA,ACV Auctions Inc,Consumer Cyclical,Auto & Truck Dealerships,USA
ADBE,Adobe Inc,Technology,Software - Infrastructure,USA
ADC,Agree Realty Corp.,Real Estate,REIT - Retail,USA
ADI,Analog Devices Inc.,Technology,Semiconductors,USA
ADM,Archer Daniels Midland Co.,Consumer Defensive,Farm Products,USA
